Contract,OnlineSecurity,tenure,InternetService,TotalCharges,MonthlyCharges,PaymentMethod
0,0,5,0,198,45.7,2
2,1,10,2,225,26.1,1
0,0,5,1,371,71.45,3
0,0,9,1,741,79.9,2
0,0,11,1,1105,97.85,0
2,0,47,0,3522,73.6,2
0,2,3,0,107,41.35,3
0,0,1,1,75,75.9,2
1,2,23,0,947,40.65,0
0,0,16,1,1511,94.45,2
1,2,27,0,2212,81.7,2
2,1,68,2,1686,25.75,3
0,0,2,0,96,51.4,2
0,1,5,2,122,20.35,1
0,0,67,1,5060,75.7,3
1,2,52,0,3042,57.95,1
0,0,29,1,2440,85.8,2
0,0,1,1,70,70.1,2
0,0,4,1,268,70.15,2
2,2,69,0,5897,85.35,1
0,2,16,0,664,38.9,2
0,0,24,1,2248,93.0,2
0,0,42,1,4327,103.8,0
0,0,60,0,3027,50.8,2
0,0,10,1,930,95.2,2
0,0,9,0,530,59.5,0
0,0,24,0,1614,69.45,0
0,1,18,2,358,20.05,3
2,2,72,1,8220,115.6,0
0,2,64,1,5327,86.8,0
0,1,2,2,50,19.4,3
2,2,68,0,6302,90.8,1
0,2,1,1,102,102.45,2
1,1,59,2,1267,20.35,3
1,0,50,1,4858,98.25,2
2,2,72,1,8058,110.45,0
1,0,57,1,5468,94.7,2
1,1,18,2,369,20.35,0
1,2,62,1,7133,115.05,1
1,1,24,2,533,20.1,3
0,2,37,0,1448,40.2,0
0,0,5,1,470,85.75,2
0,0,3,1,222,69.55,0
0,0,29,1,2263,75.3,1
0,0,31,0,1498,49.2,3
1,1,24,2,469,20.8,1
0,2,18,1,1438,74.8,2
0,2,17,1,1574,91.85,2
2,2,69,0,4577,66.9,3
1,1,48,2,936,19.95,3
2,1,54,2,1090,20.4,1
0,2,13,0,995,78.75,2
0,0,22,1,1961,85.35,0
0,0,18,0,476,25.15,3
0,2,16,1,1374,90.7,2
0,0,5,1,415,80.6,2
2,1,53,2,1048,20.25,3
0,0,44,1,3122,73.85,2
0,0,44,1,4398,100.55,2
2,2,70,0,6367,89.75,1
0,0,6,1,545,105.3,2
1,0,33,0,1758,51.45,3
1,1,11,2,211,20.0,3
2,1,72,2,1709,24.45,0
0,0,9,1,769,79.75,2
1,2,63,0,2298,36.1,0
1,1,3,2,57,20.55,1
2,2,66,1,6844,105.65,0
2,2,66,0,4136,62.5,0
0,0,1,1,71,71.1,3
1,0,30,1,2638,94.4,0
0,0,13,1,931,70.15,2
2,2,72,0,5661,79.5,0
0,0,8,0,446,55.75,2
1,2,28,1,2847,106.1,2
0,2,65,1,6914,105.05,2
0,0,11,1,880,82.9,2
1,1,26,2,459,19.2,3
0,0,59,0,2997,50.25,2
2,1,67,2,1284,19.4,1
2,1,71,2,1379,19.85,1
1,0,57,0,4140,71.1,1
2,0,71,0,3263,47.05,2
2,1,57,2,1252,20.55,1
2,1,72,2,1851,26.1,3
0,0,1,1,75,75.35,1
0,2,15,1,1392,96.5,2
0,2,4,1,319,80.15,2
0,0,23,0,996,44.95,2
2,0,71,1,7623,106.8,2
0,2,45,0,3541,81.3,3
1,2,64,1,6880,108.5,3
0,2,20,0,1191,59.2,0
0,0,31,1,2404,79.85,1
0,0,3,1,335,94.85,2
1,1,20,2,417,20.65,3
1,0,57,1,5598,97.55,1
0,0,8,0,221,29.4,2
1,1,33,2,600,19.45,0
2,2,67,0,3623,54.2,1
2,2,71,0,5999,82.0,1
0,0,59,0,3735,64.65,2
0,1,1,2,20,20.45,3
1,0,57,0,4368,74.6,0
0,0,1,0,59,59.2,2
0,0,9,1,918,99.3,1
0,1,4,2,68,20.15,1
2,2,72,0,6362,88.55,1
1,0,62,1,6703,106.05,1
0,0,5,1,384,80.2,2
0,0,22,1,2142,94.95,0
2,1,35,2,809,25.45,0
0,0,12,1,1043,79.95,0
0,1,28,2,535,20.25,3
0,1,1,2,20,20.4,3
1,0,67,1,7040,104.1,2
2,2,72,1,6991,97.75,1
1,2,38,1,4428,110.7,2
0,0,14,0,664,48.8,0
1,2,47,0,4138,86.95,0
2,1,63,2,1574,24.65,1
0,0,37,0,973,28.6,1
0,0,1,1,74,74.2,2
1,1,37,2,717,19.85,0
0,0,9,0,328,40.65,3
1,2,60,0,3561,59.8,3
0,2,57,1,4884,87.55,0
0,0,41,0,1841,45.2,0
1,2,50,0,3478,70.8,1
0,0,4,0,202,50.8,3
0,0,9,1,661,79.35,0
0,0,36,1,3474,95.4,2
0,0,2,0,41,24.35,2
2,2,65,1,6078,94.55,1
1,2,36,0,3003,85.85,0
0,1,5,2,117,20.15,3
0,2,71,1,7713,107.5,2
2,1,3,2,121,26.4,3
1,1,55,2,1140,19.7,2
0,0,5,0,223,47.15,2
0,0,1,0,53,53.5,3
2,2,68,1,5375,80.35,1
0,2,38,1,3233,83.9,1
0,2,16,0,889,54.1,2
1,2,67,0,4991,72.35,0
2,2,72,1,8594,116.95,1
0,0,21,1,1493,68.65,2
0,1,4,2,78,19.0,3
0,0,3,0,98,29.2,3
2,0,69,1,6856,99.35,2
0,0,2,1,196,93.85,2
2,0,70,1,6859,98.3,0
0,1,1,2,21,21.0,2
0,1,2,2,38,19.65,3
0,0,11,1,1020,90.6,2
0,2,13,1,1244,96.65,2
2,1,60,2,1161,19.65,1
0,0,20,1,1463,73.65,2
2,0,37,0,1316,35.8,1
1,1,30,2,587,20.7,1
0,0,60,1,5969,103.75,0
0,0,35,1,2416,70.3,2
0,0,50,1,4816,95.7,2
1,2,71,1,6856,95.65,3
0,0,8,1,600,74.05,0
1,1,38,2,914,24.25,2
2,1,72,2,1434,19.85,0
0,0,42,1,3930,95.55,2
1,0,57,1,5535,95.0,2
2,0,60,1,6640,110.8,1
2,1,71,2,1847,25.35,1
0,1,11,2,245,23.15,1
0,0,40,0,2092,51.1,2
2,2,42,0,3571,84.35,1
0,0,1,0,44,44.45,3
0,2,47,1,4137,90.05,2
1,2,50,0,4025,75.5,2
2,2,10,0,521,53.7,1
2,0,72,0,6227,85.45,1
2,0,72,1,7285,99.4,2
2,0,60,1,5231,89.55,2
0,0,3,1,216,75.15,1
0,0,2,1,152,79.85,2
0,0,1,1,80,80.05,3
0,0,11,1,990,89.2,2
0,0,49,1,4889,98.35,2
2,2,70,1,7714,113.65,2
0,0,2,1,154,70.75,2
0,0,16,1,1587,98.75,2
0,0,10,1,990,99.85,2
1,2,56,0,3815,68.75,0
0,0,48,1,4946,103.85,2
2,1,72,2,1802,25.0,0
0,1,1,2,20,20.9,3
2,1,29,2,521,19.55,3
1,1,25,2,676,25.3,0
1,2,68,0,3674,54.45,1
0,0,2,1,146,69.8,2
0,0,42,1,3384,77.95,1
2,1,6,2,100,20.1,3
0,0,18,1,1794,101.3,1
0,0,10,1,738,70.3,2
2,0,72,1,7634,103.65,2
2,0,63,1,6597,104.8,0
1,0,27,0,2078,78.2,3
2,1,35,2,949,25.4,1
0,0,18,1,1612,90.1,2
0,2,11,1,791,73.5,2
1,1,44,2,926,20.6,0
0,2,19,0,1297,60.6,2
2,2,72,0,6688,93.25,0
0,0,18,0,892,50.0,3
0,0,18,0,865,49.85,1
2,0,71,0,4310,61.4,1
0,2,30,0,1530,55.3,0
1,0,28,0,1682,60.0,1
0,0,37,1,2839,78.95,1
1,1,18,2,342,19.8,0
2,0,31,0,2471,80.55,0
0,0,5,0,291,56.15,2
0,0,30,1,2351,77.9,3
1,2,49,0,3472,71.8,2
0,0,12,0,518,45.4,0
0,0,1,1,78,78.05,2
0,0,4,1,365,89.6,3
0,1,3,2,51,20.55,1
0,0,3,1,244,79.4,2
2,2,37,0,2313,65.6,0
1,2,23,0,1533,66.25,3
0,0,23,1,1783,79.1,3
1,0,45,1,4459,100.15,0
1,1,22,2,488,20.25,0
0,0,24,1,2404,99.65,0
2,1,48,2,916,19.85,1
0,0,3,0,168,56.15,3
0,0,8,1,713,87.1,2
1,0,44,0,2375,53.95,3
0,0,56,1,5116,90.55,2
0,1,1,2,20,20.6,3
0,0,53,1,4779,92.55,2
2,1,59,2,1192,19.3,1
0,0,15,0,631,48.85,3
1,0,49,1,4287,89.85,0
0,2,39,0,2184,55.9,2
1,0,44,1,3990,89.15,1
0,0,3,0,188,53.4,1
0,0,16,1,1178,74.3,1
0,0,5,0,339,65.6,0
0,0,37,1,3541,100.3,1
0,0,9,0,466,50.85,3
2,1,35,2,739,19.85,3
0,0,7,1,587,86.25,2
0,1,1,2,20,20.2,0
0,0,29,0,712,25.1,1
1,2,51,1,5000,95.15,3
2,0,58,0,4048,70.1,0
1,0,72,1,8003,108.5,0
0,2,4,0,156,38.55,1
1,0,64,1,7266,111.45,2
0,0,68,1,5589,80.35,1
0,0,62,1,6019,96.1,1
0,0,37,1,3415,92.95,2
2,1,43,2,779,19.65,0
2,2,65,0,5963,91.55,0
0,2,1,0,61,61.15,2
1,2,27,0,1874,66.15,3
2,1,57,2,1167,19.5,0
0,1,1,2,20,20.55,3
0,2,43,0,1912,40.45,2
2,2,48,1,5443,111.8,1
2,2,41,1,4507,111.15,2
2,0,68,1,6297,90.2,1
0,0,15,0,736,48.85,2
0,0,8,1,742,94.45,1
0,0,3,0,77,25.3,2
0,0,55,1,5044,90.45,2
0,1,1,2,19,19.65,3
0,0,16,1,1167,71.8,0
1,2,39,0,3182,80.0,1
0,0,10,1,953,94.85,2
2,0,46,1,4854,108.9,1
0,0,12,0,628,56.3,3
2,1,41,2,835,20.65,3
0,0,65,1,6941,109.15,2
1,0,21,1,1742,79.2,2
0,0,4,1,442,99.8,1
2,2,72,0,6697,89.85,0
2,1,47,2,1160,24.55,3
1,2,43,1,3539,84.25,0
2,2,72,1,8248,113.1,0
1,2,67,1,7511,111.25,2
0,0,6,1,577,89.3,2
1,0,60,0,4224,70.15,1
1,2,40,1,4116,98.15,1
2,2,66,1,5930,90.95,1
0,0,52,0,2550,49.15,2
0,0,1,1,93,93.85,2
0,2,58,1,5435,93.4,0
2,2,72,0,4684,63.8,0
0,0,35,1,3474,95.45,2
2,1,72,2,1502,20.5,1
0,0,51,1,3649,69.15,3
2,1,69,2,1447,19.3,0
1,0,69,1,6841,99.5,0
0,1,11,2,246,20.3,0
0,0,1,0,24,24.2,3
0,0,3,1,294,105.0,2
1,2,37,1,3754,99.2,2
0,0,4,0,102,25.2,0
0,0,67,1,6079,94.65,1
0,0,25,1,2199,85.9,2
2,2,72,0,6632,92.0,0
0,2,8,0,411,51.3,1
0,0,10,1,846,80.25,0
0,1,6,2,130,20.15,0
1,0,52,0,4079,80.85,2
2,1,70,2,1715,25.35,3
2,2,70,0,6474,92.2,0
2,1,58,2,1474,25.3,1
2,2,70,0,5498,77.3,1
2,1,72,2,1379,19.7,1
1,0,66,0,3251,49.4,1
0,0,16,0,552,35.5,1
0,2,35,0,2136,59.45,1
0,0,65,1,6223,95.45,0
0,0,2,0,85,43.95,2
0,2,30,0,1536,48.8,3
0,0,14,1,1178,89.95,2
0,1,7,2,174,20.25,0
0,0,2,1,143,79.0,2
2,2,66,0,5538,85.25,2
0,1,3,2,67,20.75,1
0,1,1,2,19,19.75,3
2,0,68,0,4326,64.1,0
0,0,10,1,830,86.45,2
1,0,49,1,4941,100.45,3
0,1,23,2,470,20.3,0
0,0,13,1,1235,96.85,2
2,1,65,2,1267,19.85,1
0,0,28,0,973,35.9,2
0,0,2,1,161,89.5,2
0,2,9,1,661,75.6,2
0,2,54,1,6118,109.55,2
1,2,25,0,1611,61.6,0
2,1,19,2,398,20.5,3
1,2,71,1,6028,85.45,1
1,1,36,2,695,20.35,1
0,1,16,2,294,19.75,1
2,1,25,2,692,24.75,1
1,2,59,1,4639,81.25,1
2,1,71,2,1626,23.9,1
1,0,46,1,4424,95.25,1
2,2,16,0,1114,68.25,0
0,0,49,1,4783,95.6,2
1,2,24,0,1990,84.8,3
0,2,2,0,72,42.6,2
0,0,58,0,3970,66.8,0
0,0,1,1,89,89.25,2
0,0,45,1,3861,86.1,2
0,0,1,0,50,50.5,2
0,0,8,0,371,43.35,3
0,0,22,1,1993,90.0,2
1,2,66,1,7942,115.8,0
0,2,8,1,609,74.5,2
1,2,72,1,7848,106.1,0
2,0,47,0,3007,63.8,0
0,0,4,1,305,72.2,0
0,0,29,1,2384,78.9,2
2,2,72,1,8013,116.45,0
0,0,16,1,1378,84.95,2
0,0,2,1,174,79.95,2
0,1,1,2,19,19.5,3
2,2,68,0,4741,70.95,0
1,1,33,2,847,24.9,0
0,1,61,2,1182,19.4,3
0,0,23,1,1676,79.15,2
1,2,19,0,955,48.95,0
2,2,13,0,590,40.55,3
0,0,21,1,1808,86.5,2
1,2,62,1,6312,104.85,2
0,1,29,2,702,25.15,2
2,2,70,1,7511,105.35,1
0,0,38,1,3956,101.15,1
0,0,31,1,2217,73.9,2
0,0,1,1,69,69.95,2
0,0,1,0,43,43.95,3
1,2,71,0,4692,66.2,2
2,1,4,2,68,19.55,1
0,0,2,1,159,80.75,2
0,0,4,0,253,64.4,3
2,2,69,1,6875,99.15,0
1,2,64,0,5567,81.25,2
1,2,60,0,4801,79.0,3
0,0,1,1,69,69.95,2
0,0,63,1,6713,105.4,2
2,1,35,2,677,19.25,3
0,0,17,1,1233,76.45,2
2,0,63,1,6253,97.45,0
0,2,19,0,1286,66.4,0
0,0,21,1,2317,111.2,2
0,0,57,1,5567,95.3,1
0,0,8,0,393,49.55,0
0,1,6,2,109,20.65,3
2,2,66,0,4193,61.35,0
2,2,63,0,4707,75.55,1
1,0,28,1,2568,92.2,0
0,2,23,1,1778,75.0,0
0,1,29,2,573,19.85,3
0,0,18,1,1411,80.55,1
0,2,53,0,2546,46.3,0
1,2,10,0,676,70.3,2
2,0,39,0,1971,49.8,0
0,0,17,0,1322,75.4,0
1,0,37,1,3247,91.2,1
2,1,33,2,670,20.1,3
1,0,19,1,1686,89.35,0
0,2,7,0,438,61.4,2
0,0,9,0,651,72.9,3
2,2,59,0,3886,64.05,1
1,0,55,1,5656,103.7,0
0,2,4,1,387,94.4,0
2,1,57,2,1123,20.75,3
2,2,68,1,7843,114.9,0
2,2,64,0,4759,74.35,3
1,0,72,1,7362,103.2,1
0,0,8,1,613,84.0,2
2,2,72,1,8332,115.8,1
0,0,1,0,45,45.8,3
2,0,69,1,6671,95.2,1
2,2,56,1,4513,80.3,0
0,2,9,0,547,64.95,3
0,0,1,1,69,69.9,2
1,0,59,0,4693,80.1,2
0,0,12,1,958,79.55,1
0,0,4,1,371,84.8,0
0,0,3,1,235,70.3,2
0,2,1,0,50,50.75,3
0,0,29,1,2807,98.8,1
2,2,71,0,5969,84.4,1
1,2,23,0,1282,57.75,3
0,1,6,2,184,26.35,3
0,1,37,2,683,19.35,2
1,2,24,0,1712,74.4,0
0,2,49,1,4847,100.85,3
0,2,11,1,1222,96.2,1
2,0,44,1,4378,100.1,0
1,1,11,2,245,25.2,2
0,0,43,0,1224,29.3,1
0,0,1,0,50,50.55,2
2,1,23,2,625,23.85,3
0,2,25,0,1752,69.5,1
0,0,14,1,1013,75.1,2
0,0,10,1,830,80.05,0
1,2,27,1,2209,80.65,1
0,0,3,1,323,105.35,0
2,1,10,2,251,25.7,0
0,0,5,0,214,45.4,1
2,1,48,2,1245,26.3,0
0,0,7,0,493,64.95,2
1,0,44,0,2265,49.05,2
0,0,2,0,160,76.4,2
0,0,4,1,333,76.65,0
0,0,37,1,3475,98.8,0
0,1,13,2,279,19.3,3
1,0,39,0,2224,58.6,1
1,2,42,0,2386,56.1,1
1,2,46,1,4822,105.2,0
1,2,16,0,857,55.85,3
2,0,54,0,2424,46.0,1
0,0,33,0,2245,66.4,1
0,0,22,0,1073,50.6,2
1,2,35,1,3251,89.2,2
0,1,4,2,85,20.95,0
2,1,1,2,20,20.45,3
1,1,36,2,720,20.85,0
0,2,25,0,1296,54.3,2
2,2,3,0,213,71.1,3
0,2,22,1,2095,100.75,2
0,2,16,1,1522,100.7,0
1,0,50,1,5347,106.8,2
0,1,10,2,222,21.2,2
1,2,25,0,1863,74.3,3
0,0,32,1,3019,96.15,1
2,1,63,2,1263,19.35,2
0,0,5,0,235,48.65,0
0,0,44,0,1359,30.35,2
0,0,16,1,1529,96.15,2
1,2,20,0,1274,64.15,3
0,2,30,1,3211,106.4,0
1,0,55,0,2462,45.05,0
1,0,61,0,3965,65.2,2
0,1,1,2,19,19.95,0
1,0,54,1,5060,94.1,1
0,0,10,1,740,70.0,2
0,2,40,0,2139,55.25,3
0,2,51,1,4018,79.15,0
2,2,72,1,7611,105.5,0
2,2,64,1,6549,99.25,1
2,1,72,2,1872,25.85,1
1,1,53,2,1007,19.55,0
0,0,3,0,66,24.75,2
0,0,1,1,70,70.05,2
0,2,13,1,1095,84.05,2
0,0,39,0,2011,50.75,2
0,0,9,1,714,77.65,0
2,1,22,2,566,25.25,3
0,0,54,1,5295,99.05,1
1,2,29,0,1072,35.6,3
1,2,72,1,8684,117.8,0
2,2,72,0,5810,79.55,1
0,0,47,1,5124,109.55,2
0,0,28,0,1410,49.9,3
0,0,3,0,82,30.4,2
2,2,50,0,3822,75.15,0
0,0,1,1,69,69.8,2
0,0,2,1,178,94.95,2
0,0,2,1,129,70.7,3
1,0,70,1,7674,109.5,2
0,0,51,1,4473,87.35,2
0,0,65,1,6578,104.35,2
0,0,1,1,90,90.55,2
0,0,13,0,382,30.15,2
0,0,10,1,1058,98.5,2
2,1,55,2,1079,20.3,3
0,0,7,0,450,70.75,1
1,1,3,2,69,19.45,3
1,0,46,0,1537,33.7,1
1,0,56,0,4284,75.75,0
2,2,61,1,7008,115.1,1
0,0,52,1,4631,93.25,0
0,0,41,1,2868,70.25,0
2,1,68,2,1821,25.5,0
1,2,41,0,3211,78.35,1
1,0,50,0,3442,69.65,2
2,2,71,1,8078,115.15,1
0,0,22,1,1799,83.05,2
2,1,59,2,1147,19.5,3
0,0,6,1,377,69.8,2
2,1,33,2,740,24.5,3
0,1,17,2,409,24.1,3
0,2,49,0,2970,59.6,1
2,0,72,0,5784,82.15,0
0,0,17,1,1622,100.45,1
1,2,15,0,950,64.85,3
0,1,8,2,169,19.65,1
0,2,22,0,1427,65.05,3
2,1,51,2,1222,24.95,3
0,0,43,1,3954,91.65,2
0,0,3,0,79,25.1,2
0,2,48,1,5068,104.5,2
1,2,34,0,2042,60.8,3
1,0,41,1,4534,111.95,2
1,0,67,1,7388,112.35,1
0,2,19,0,1375,75.9,3
1,2,63,1,6311,99.65,1
0,0,18,1,1553,85.2,2
0,1,1,2,20,20.65,3
0,0,11,1,1078,94.0,2
1,2,30,1,2820,90.4,0
0,0,23,1,1710,74.95,2
0,0,52,1,5624,105.05,2
0,1,13,2,252,19.85,3
2,0,54,0,3409,63.35,1
0,2,1,0,47,47.95,2
1,0,68,1,5733,83.65,0
0,2,3,0,195,64.4,1
0,0,1,1,68,68.5,2
0,2,34,0,2274,62.65,2
2,0,49,0,3199,66.15,0
2,1,23,2,451,19.65,3
2,1,71,2,1396,19.8,3
0,0,46,1,3958,84.8,0
1,2,50,1,5431,108.25,2
0,0,1,0,45,45.3,3
0,0,24,1,2001,79.85,1
2,2,68,1,7849,114.7,0
2,1,31,2,689,20.9,1
2,0,64,0,3210,49.85,2
0,0,14,1,1258,87.25,2
0,0,59,0,3005,51.7,2
2,0,72,1,6511,90.8,1
0,0,4,1,396,98.1,0
1,0,32,1,2781,84.05,2
0,0,48,1,4370,91.05,1
2,2,72,1,7880,109.65,2
0,2,3,1,248,89.85,2
2,2,72,1,6954,95.9,0
0,0,18,1,1537,84.3,0
2,2,72,0,4685,63.1,0
0,0,32,1,2628,85.95,1
0,0,13,1,1127,82.0,2
0,2,7,0,201,29.8,3
0,2,6,0,365,55.9,1
0,2,4,0,220,55.2,2
0,1,13,2,254,20.45,3
2,2,64,1,6605,104.05,1
0,0,17,1,1165,70.5,0
0,0,40,0,2036,50.85,2
0,2,11,0,565,50.55,2
0,1,5,2,107,19.95,3
0,0,23,1,1868,85.6,2
1,2,68,0,5233,76.75,1
0,0,1,1,79,79.15,3
2,2,72,0,6463,87.55,0
1,2,57,0,2258,41.1,1
2,2,60,1,6925,116.05,0
0,0,6,0,276,44.7,1
0,0,55,1,5099,90.4,1
2,2,72,1,7746,110.1,0
2,2,70,0,4664,67.95,3
0,2,17,1,1539,89.4,2
0,0,9,0,542,59.9,3
2,2,51,0,3121,60.5,1
2,0,67,0,4615,69.9,0
0,0,1,1,75,75.8,2
0,0,3,0,58,25.25,2
0,2,6,0,307,50.95,1
0,0,10,0,616,65.5,2
0,0,21,1,1818,86.05,2
0,0,13,1,1215,94.1,2
2,0,51,0,3901,75.2,0
2,1,25,2,499,20.75,3
2,1,71,2,1389,19.9,0
0,0,3,1,238,74.75,3
0,0,1,1,79,79.5,2
0,0,65,1,6496,99.1,0
1,2,65,0,4653,72.45,1
1,1,64,2,1601,24.4,0
1,2,38,0,2708,70.6,3
1,2,56,1,6109,109.8,0
2,1,72,2,1567,19.75,3
0,0,9,0,571,69.4,1
2,1,38,2,743,20.3,3
0,0,44,0,2549,54.9,0
2,2,71,0,5727,80.4,1
0,2,57,1,5497,99.65,2
0,0,43,0,2076,49.05,0
1,1,17,2,337,20.05,1
0,0,7,1,620,86.8,2
0,0,2,1,164,79.75,2
2,1,50,2,1195,24.9,0
2,2,72,0,5919,82.65,1
2,2,13,0,1161,88.95,1
0,0,19,0,1394,69.6,3
2,1,30,2,711,21.25,3
1,2,58,1,6145,106.45,2
1,1,7,2,150,20.65,3
2,1,55,2,1177,20.5,3
1,1,15,2,239,19.5,3
2,2,68,0,6132,88.85,1
0,0,54,1,5440,100.1,2
0,0,25,0,1293,48.25,2
0,0,1,1,84,84.3,2
2,1,72,2,1492,20.7,0
2,2,63,0,4479,71.9,0
1,1,42,2,854,20.25,3
0,0,37,0,1315,36.65,2
0,1,4,2,77,20.35,3
1,1,13,2,270,19.45,3
0,1,3,2,72,20.85,3
0,0,1,0,50,50.8,2
2,0,68,1,5974,89.95,0
0,0,10,0,638,59.65,3
1,2,62,1,4983,81.45,1
2,1,49,2,1022,19.9,1
2,1,46,2,862,19.95,1
2,2,52,0,3334,63.9,1
0,2,26,1,2070,81.95,2
0,1,8,2,170,19.95,3
0,0,2,1,166,75.55,2
2,1,69,2,1396,19.7,0
0,2,4,0,110,29.15,3
0,0,11,1,866,75.9,3
0,0,9,0,447,49.2,3
0,2,29,0,1970,68.85,0
0,2,60,1,5774,93.25,2
0,2,27,0,805,30.75,1
2,1,57,2,1170,19.6,3
0,2,1,1,73,73.6,3
0,0,1,1,91,91.7,2
2,1,37,2,784,19.85,3
2,2,72,0,4732,64.8,0
0,0,31,1,2995,91.15,2
0,0,52,0,3043,59.45,2
1,0,48,0,2789,58.95,0
0,0,22,1,1907,89.25,2
0,0,13,1,999,75.0,3
2,2,6,0,493,80.25,3
0,2,7,0,404,53.65,2
2,2,71,1,7661,109.0,0
0,0,3,1,220,69.65,2
1,2,48,0,3035,64.4,0
0,0,9,0,452,54.8,3
0,0,7,1,545,73.75,3
0,0,18,0,553,35.0,2
0,2,11,0,662,60.25,0
0,0,9,1,781,85.3,1
0,0,10,1,793,79.25,2
0,1,1,2,20,20.2,3
0,0,26,1,2169,84.95,2
0,0,7,0,278,43.9,3
2,0,46,1,4904,104.4,0
2,1,27,2,788,25.85,1
0,0,1,1,69,69.65,2
0,2,40,0,2109,55.8,2
0,0,49,1,3678,75.2,1
1,0,68,1,7176,108.45,2
0,2,18,0,992,57.65,3
0,0,28,1,3152,106.15,2
2,2,72,1,7334,100.65,0
2,2,62,0,5150,84.95,2
2,1,34,2,894,24.95,1
1,0,46,0,2688,55.65,1
1,0,31,1,2548,81.7,1
1,0,27,1,2673,100.5,0
0,2,30,0,1588,54.45,0
0,0,11,1,893,86.2,2
1,2,46,1,4874,110.0,2
0,0,44,0,2139,50.15,3
1,2,42,0,2882,67.7,3
0,0,18,0,878,49.55,3
2,1,50,2,1023,19.4,1
0,2,7,0,350,50.7,3
2,2,66,0,5958,89.9,1
0,2,26,0,1147,45.8,3
0,0,1,1,69,69.1,2
2,0,67,1,6368,93.15,2
0,0,26,1,2599,100.5,0
0,0,52,1,5025,94.6,0
0,0,12,1,893,76.6,2
0,0,10,1,688,72.85,2
0,0,1,0,43,43.95,1
0,2,47,0,3252,67.45,1
2,0,57,1,5229,90.45,1
0,0,1,1,70,70.85,2
2,2,72,1,7845,113.8,0
1,0,45,0,1596,34.2,2
1,1,38,2,814,20.25,1
0,0,1,1,90,90.1,2
1,0,17,0,1445,80.85,2
2,2,59,0,4519,76.45,3
0,0,15,1,1553,101.35,2
1,2,32,0,2333,72.8,1
2,1,43,2,876,19.55,3
2,1,71,2,1766,24.65,3
1,2,54,1,6049,114.65,3
0,0,5,1,389,81.0,1
1,1,14,2,294,19.55,3
0,0,62,1,6283,100.15,2
2,2,72,0,6716,90.15,0
1,0,42,1,4586,108.3,2
0,0,2,1,123,70.15,2
2,1,72,2,1937,25.7,1
2,1,30,2,789,25.1,3
0,0,40,1,3706,97.1,0
2,2,25,0,844,35.05,0
1,2,65,0,4309,67.05,1
2,1,14,2,292,20.4,3
1,1,35,2,644,20.1,1
1,0,30,0,2198,70.25,0
1,0,30,1,2538,86.45,2
1,2,64,1,6603,100.3,1
2,2,71,0,6287,90.3,1
0,0,3,0,108,36.85,3
0,0,8,1,572,74.85,2
0,0,13,1,1301,99.0,3
1,1,48,2,1171,25.05,1
1,0,26,1,2184,85.2,2
1,2,36,0,2606,76.35,3
2,0,50,1,3533,70.35,1
1,2,49,0,2633,55.35,2
1,0,43,1,4304,100.55,0
0,1,8,2,152,19.35,3
0,2,2,0,125,61.2,1
0,2,53,0,4616,85.7,2
1,2,64,1,6314,96.9,3
0,2,17,0,934,55.5,1
2,1,53,2,1050,19.5,1
0,2,1,0,50,50.7,3
1,2,48,1,4977,99.7,0
0,2,8,0,330,38.5,2
0,0,10,1,964,91.1,2
1,0,40,1,3132,80.8,2
2,2,32,0,2316,73.6,3
0,0,41,1,3851,94.55,2
0,0,25,1,2387,100.25,2
0,0,22,1,1949,89.1,1
2,1,72,2,1866,25.45,1
1,1,24,2,592,24.6,2
0,2,24,0,1440,60.45,0
0,0,64,0,4869,74.65,1
0,0,3,1,313,107.95,3
0,0,1,0,49,49.8,1
0,2,63,1,7031,109.4,0
0,0,13,0,718,53.45,3
0,2,20,0,1165,55.0,1
0,0,54,0,4524,86.2,2
1,1,38,2,763,19.6,1
0,0,1,1,69,69.75,2
2,2,67,0,3097,43.9,2
0,0,55,1,5283,96.8,2
1,2,53,0,3491,64.15,0
2,1,29,2,692,26.1,3
1,2,14,0,795,55.7,3
1,2,48,0,2896,60.35,1
1,0,48,0,3435,69.55,3
0,0,1,0,59,59.55,3
1,1,44,2,1013,24.85,2
0,0,45,1,4456,95.95,0
0,0,56,1,4092,73.85,2
0,0,14,0,419,31.1,3
0,0,2,1,157,71.3,1
1,0,36,0,1992,54.1,1
0,0,5,0,210,39.5,2
2,2,69,0,4059,61.4,1
2,2,62,1,6825,108.15,3
0,1,1,2,19,19.9,3
0,0,34,0,2157,65.0,3
0,2,16,1,1321,80.75,0
2,1,14,2,255,18.8,3
1,0,49,1,4917,97.95,2
0,0,2,1,144,80.25,2
2,1,26,2,515,19.15,1
0,2,22,1,2234,95.9,1
1,0,33,0,2405,73.9,3
2,1,4,2,96,19.5,1
2,1,19,2,358,19.65,3
2,2,57,0,5012,89.55,3
1,2,51,1,4267,86.35,3
0,0,1,0,44,44.15,3
0,0,3,1,268,90.4,2
1,1,1,2,20,20.2,2
1,2,15,0,693,45.9,3
2,2,52,0,4217,79.75,1
1,0,56,1,5614,100.3,1
0,0,3,1,228,76.95,2
1,2,26,0,978,35.4,1
2,2,68,1,7553,110.8,0
0,2,4,0,235,50.55,0
2,1,72,2,1867,25.55,1
